NB_Periods = 20;
NB_Items = 10;
Capacity = [ 1332 1332 1332 1332 1332 1332 1332 1332 1332 1332 1332 1332 1332 1332 1332 1332 1332 1332 1332 1332 ];
Demand = [
[ 0 0 0 113 95 120 113 82 123 90 120 103 106 94 84 75 121 88 100 124 ]
[ 115 113 111 94 96 115 98 116 103 98 102 85 122 121 105 75 115 104 99 78 ]
[ 116 0 0 116 113 78 86 85 114 112 86 78 100 108 110 77 104 119 96 96 ]
[ 0 0 96 0 100 90 98 97 81 78 116 97 109 83 93 81 104 98 83 113 ]
[ 0 0 0 0 101 86 96 106 94 116 96 122 98 79 82 94 119 94 87 103 ]
[ 92 0 105 0 82 110 119 79 121 123 109 115 118 120 80 123 96 106 77 89 ]
[ 89 110 118 0 114 113 108 113 86 105 103 91 84 86 92 93 109 76 76 124 ]
[ 0 0 107 88 80 92 123 96 115 105 98 88 107 77 121 115 82 121 106 116 ]
[ 92 0 0 0 107 112 116 79 97 87 89 78 121 85 99 110 82 115 87 106 ]
[ 0 122 0 93 109 96 92 90 117 94 85 77 81 111 108 113 108 103 114 87 ]
];
SetupTime = [
[ 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 ]
[ 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 ]
[ 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 ]
[ 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 ]
[ 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 ]
[ 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 ]
[ 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 ]
[ 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 ]
[ 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 ]
[ 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 ]
];
VarCons = [
[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
];
SetupCost = [
[ 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 ]
[ 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 ]
[ 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 ]
[ 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 ]
[ 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 ]
[ 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 ]
[ 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 ]
[ 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 ]
[ 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 ]
[ 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 ]
];
VarCost = [
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
